"index";"School Name";"School Type";"Starting Median Salary";"Mid-Career Median Salary";"Mid-Career 10th Percentile Salary";"Mid-Career 25th Percentile Salary";"Mid-Career 75th Percentile Salary";"Mid-Career 90th Percentile Salary";"OPEID8";"Address";"City";"State";"Zip";"schoolid";"Web";"OPEID6"
0;"Massachusetts Institute of Technology";"Engineering";"$72,200.00 ";"$126,000.00 ";"$76,800.00 ";"$99,200.00 ";"$168,000.00 ";"$220,000.00 ";"00217800";"77 Massachusetts Avenue";"Cambridge";"MA";"02139-4307";166683.0;"web.mit.edu/";2178.0
1;"California Institute of Technology";"Engineering";"$75,500.00 ";"$123,000.00 ";"";"$104,000.00 ";"$161,000.00 ";"";"00113100";"1200 E California Blvd";"Pasadena";"CA";"91125";110404.0;"www.caltech.edu";1131.0
2;"Harvey Mudd College";"Engineering";"$71,800.00 ";"$122,000.00 ";"";"$96,000.00 ";"$180,000.00 ";"";"00117100";"301 Platt Blvd.";"Claremont";"CA";"91711";115409.0;"www.hmc.edu";1171.0
5;"Worcester Polytechnic Institute";"Engineering";"$61,000.00 ";"$114,000.00 ";"$80,000.00 ";"$91,200.00 ";"$137,000.00 ";"$180,000.00 ";"00223300";"100 Institute Road";"Worcester";"MA";"01609-2280";168421.0;"www.wpi.edu";2233.0
6;"Carnegie Mellon University";"Engineering";"$61,800.00 ";"$111,000.00 ";"$63,300.00 ";"$80,100.00 ";"$150,000.00 ";"$209,000.00 ";"00324200";"5000 Forbes Ave";"Pittsburgh";"PA";"15213-3890";211440.0;"www.cmu.edu/";3242.0
7;"Rensselaer Polytechnic Institute";"Engineering";"$61,100.00 ";"$110,000.00 ";"$71,600.00 ";"$85,500.00 ";"$140,000.00 ";"$182,000.00 ";"00280300";"110 8th St";"Troy";"NY";"12180-3590";194824.0;"www.rpi.edu";2803.0
9;"Colorado School of Mines";"Engineering";"$58,100.00 ";"$106,000.00 ";"$62,200.00 ";"$87,900.00 ";"$142,000.00 ";"$201,000.00 ";"00134800";"1500 Illinois St";"Golden";"CO";"80401";126775.0;"www.mines.edu";1348.0
10;"Stevens Institute of Technology";"Engineering";"$60,600.00 ";"$105,000.00 ";"$68,700.00 ";"$81,900.00 ";"$138,000.00 ";"$185,000.00 ";"00263900";"Castle Point On Hudson";"Hoboken";"NJ";"07030-5991";186867.0;"www.stevens-tech.edu";2639.0
11;"Illinois Institute of Technology";"Engineering";"$56,000.00 ";"$97,800.00 ";"$56,100.00 ";"$77,400.00 ";"$121,000.00 ";"$165,000.00 ";"00169100";"3300 S Federal St";"Chicago";"IL";"60616";145725.0;"www.iit.edu";1691.0
12;"Wentworth Institute of Technology";"Engineering";"$53,000.00 ";"$96,700.00 ";"$55,200.00 ";"$74,000.00 ";"$117,000.00 ";"$153,000.00 ";"00222500";"550 Huntington Ave";"Boston";"MA";"02115";168227.0;"WWW.WIT.EDU";2225.0
13;"Virginia Polytechnic Institute and State University";"Engineering";"$53,500.00 ";"$95,400.00 ";"$50,600.00 ";"$71,400.00 ";"$124,000.00 ";"$163,000.00 ";"00375400";"Office of the President, 210 Burruss Hall";"Blacksburg";"VA";"24601";233921.0;"www.vt.edu";3754.0
15;"New Mexico Institute of Mining and Technology";"Engineering";"$51,000.00 ";"$93,400.00 ";"";"$67,400.00 ";"$123,000.00 ";"";"00265400";"801 Leroy Place";"Socorro";"NM";"87801";187967.0;"www.nmt.edu";2654.0
16;"Rochester Institute of Technology";"Engineering";"$48,900.00 ";"$84,600.00 ";"$45,000.00 ";"$62,100.00 ";"$112,000.00 ";"$159,000.00 ";"00280600";"1 Lomb Memorial Dr";"Rochester";"NY";"14623-5603";195003.0;"www.rit.edu/";2806.0
18;"Tennessee Technological University";"Engineering";"$46,200.00 ";"$80,000.00 ";"$42,100.00 ";"$62,600.00 ";"$99,500.00 ";"$121,000.00 ";"00352300";"1 William L. Jones Drive";"Cookeville";"TN";"38505-0001";221847.0;"www.tntech.edu";3523.0
19;"University of Illinois at Urbana-Champaign";"Party";"$52,900.00 ";"$96,100.00 ";"$48,200.00 ";"$68,900.00 ";"$132,000.00 ";"$177,000.00 ";"00177500";"601 E John Street";"Champaign";"IL";"61820-5711";145637.0;"www.uiuc.edu/";1775.0
102;"University of Illinois at Urbana-Champaign";"State";"$52,900.00 ";"$96,100.00 ";"$48,200.00 ";"$68,900.00 ";"$132,000.00 ";"$177,000.00 ";"00177500";"601 E John Street";"Champaign";"IL";"61820-5711";145637.0;"www.uiuc.edu/";1775.0
24;"University of Florida";"Party";"$47,100.00 ";"$87,900.00 ";"$45,400.00 ";"$62,900.00 ";"$120,000.00 ";"$172,000.00 ";"00153500";"355 Tigert Hall";"Gainesville";"FL";"32611";134130.0;"www.ufl.edu/";1535.0
118;"University of Florida";"State";"$47,100.00 ";"$87,900.00 ";"$45,400.00 ";"$62,900.00 ";"$120,000.00 ";"$172,000.00 ";"00153500";"355 Tigert Hall";"Gainesville";"FL";"32611";134130.0;"www.ufl.edu/";1535.0
26;"University of Georgia";"Party";"$44,100.00 ";"$86,000.00 ";"$43,100.00 ";"$57,800.00 ";"$118,000.00 ";"$164,000.00 ";"00159800";"456 East Broad Street";"Athens";"GA";"30602";139959.0;"www.uga.edu";1598.0
127;"University of Georgia";"State";"$44,100.00 ";"$86,000.00 ";"$43,100.00 ";"$57,800.00 ";"$118,000.00 ";"$164,000.00 ";"00159800";"456 East Broad Street";"Athens";"GA";"30602";139959.0;"www.uga.edu";1598.0
28;"Arizona State University";"Party";"$47,400.00 ";"$84,100.00 ";"$44,600.00 ";"$60,700.00 ";"$114,000.00 ";"$163,000.00 ";"00108100";"P.O. Box 2203";"Tempe";"AZ";"85287";104151.0;"www.asu.edu";1081.0
142;"Arizona State University";"State";"$47,400.00 ";"$84,100.00 ";"$44,600.00 ";"$60,700.00 ";"$114,000.00 ";"$163,000.00 ";"00108100";"P.O. Box 2203";"Tempe";"AZ";"85287";104151.0;"www.asu.edu";1081.0
30;"University of Iowa";"Party";"$44,700.00 ";"$83,900.00 ";"$43,300.00 ";"$61,100.00 ";"$116,000.00 ";"$163,000.00 ";"00189200";"101 Jessup Hall";"Iowa City";"IA";"52242-1316";153658.0;"www.uiowa.edu";1892.0
145;"University of Iowa";"State";"$44,700.00 ";"$83,900.00 ";"$43,300.00 ";"$61,100.00 ";"$116,000.00 ";"$163,000.00 ";"00189200";"101 Jessup Hall";"Iowa City";"IA";"52242-1316";153658.0;"www.uiowa.edu";1892.0
31;"Randolph-Macon College";"Party";"$42,600.00 ";"$83,600.00 ";"";"$54,100.00 ";"$123,000.00 ";"";"00373300";"204 Henry Street";"Ashland";"VA";"23005-5505";233295.0;"www.rmc.edu";3733.0
67;"Randolph-Macon College";"Liberal Arts";"$42,600.00 ";"$83,600.00 ";"";"$54,100.00 ";"$123,000.00 ";"";"00373300";"204 Henry Street";"Ashland";"VA";"23005-5505";233295.0;"www.rmc.edu";3733.0
34;"University of New Hampshire";"Party";"$41,800.00 ";"$78,300.00 ";"$41,700.00 ";"$56,400.00 ";"$114,000.00 ";"$147,000.00 ";"00258900";"Thompson Hall, 105 Main Street";"Durham";"NH";"03824-3547";183044.0;"www.unh.edu";2589.0
184;"University of New Hampshire";"State";"$41,800.00 ";"$78,300.00 ";"$41,700.00 ";"$56,400.00 ";"$114,000.00 ";"$147,000.00 ";"00258900";"Thompson Hall, 105 Main Street";"Durham";"NH";"03824-3547";183044.0;"www.unh.edu";2589.0
35;"West Virginia University";"Party";"$43,100.00 ";"$78,100.00 ";"$39,700.00 ";"$55,700.00 ";"$106,000.00 ";"$141,000.00 ";"00382700";"Presidents Office Box 6201";"Morgantown";"WV";"26506-6201";238032.0;"www.wvu.edu/";3827.0
186;"West Virginia University";"State";"$43,100.00 ";"$78,100.00 ";"$39,700.00 ";"$55,700.00 ";"$106,000.00 ";"$141,000.00 ";"00382700";"Presidents Office Box 6201";"Morgantown";"WV";"26506-6201";238032.0;"www.wvu.edu/";3827.0
36;"University of Tennessee";"Party";"$43,800.00 ";"$74,600.00 ";"$41,900.00 ";"$53,200.00 ";"$106,000.00 ";"$153,000.00 ";"00353000";"527 Andy Holt Tower";"Knoxville";"TN";"37996-0184";221759.0;"www.tennessee.edu";3530.0
202;"University of Tennessee";"State";"$43,800.00 ";"$74,600.00 ";"$41,900.00 ";"$53,200.00 ";"$106,000.00 ";"$153,000.00 ";"00353000";"527 Andy Holt Tower";"Knoxville";"TN";"37996-0184";221759.0;"www.tennessee.edu";3530.0
38;"Florida State University";"Party";"$42,100.00 ";"$73,000.00 ";"$39,600.00 ";"$52,800.00 ";"$107,000.00 ";"$156,000.00 ";"00148900";"211 Westcott Bldg";"Tallahassee";"FL";"32306-1037";134097.0;"www.fsu.edu";1489.0
214;"Florida State University";"State";"$42,100.00 ";"$73,000.00 ";"$39,600.00 ";"$52,800.00 ";"$107,000.00 ";"$156,000.00 ";"00148900";"211 Westcott Bldg";"Tallahassee";"FL";"32306-1037";134097.0;"www.fsu.edu";1489.0
39;"Bucknell University";"Liberal Arts";"$54,100.00 ";"$110,000.00 ";"$62,800.00 ";"$80,600.00 ";"$156,000.00 ";"$251,000.00 ";"00323800";"Dent Drive";"Lewisburg";"PA";"17837";211291.0;"www.bucknell.edu";3238.0
40;"Colgate University";"Liberal Arts";"$52,800.00 ";"$108,000.00 ";"$60,000.00 ";"$76,700.00 ";"$167,000.00 ";"$265,000.00 ";"00270100";"13 Oak Dr";"Hamilton";"NY";"13346-1398";190099.0;"www.colgate.edu";2701.0
41;"Amherst College";"Liberal Arts";"$54,500.00 ";"$107,000.00 ";"";"$84,900.00 ";"$162,000.00 ";"";"00211500";"Boltwood Avenue";"Amherst";"MA";"01002-5000";164465.0;"www.amherst.edu";2115.0
42;"Lafayette College";"Liberal Arts";"$53,900.00 ";"$107,000.00 ";"$70,600.00 ";"$79,300.00 ";"$144,000.00 ";"$204,000.00 ";"00328400";"High St";"Easton";"PA";"18042-1768";213385.0;"www.lafayette.edu";3284.0
43;"Bowdoin College";"Liberal Arts";"$48,100.00 ";"$107,000.00 ";"";"$74,600.00 ";"$146,000.00 ";"";"00203800";"5700 College Station - President's Office";"Brunswick";"ME";"04011-8448";161004.0;"www.bowdoin.edu";2038.0
44;"College of the Holy Cross";"Liberal Arts";"$50,200.00 ";"$106,000.00 ";"";"$65,600.00 ";"$143,000.00 ";"";"00214100";"One College Street";"Worcester";"MA";"01610-2395";166124.0;"www.holycross.edu";2141.0
45;"Occidental College";"Liberal Arts";"$51,900.00 ";"$105,000.00 ";"";"$54,800.00 ";"$157,000.00 ";"";"00124900";"1600 Campus Rd";"Los Angeles";"CA";"90041-3392";120254.0;"www.oxy.edu";1249.0
46;"Washington and Lee University";"Liberal Arts";"$53,600.00 ";"$104,000.00 ";"";"$82,800.00 ";"$146,000.00 ";"";"00376800";"204 West Washington Street";"Lexington";"VA";"24450-2116";234207.0;"www.wlu.edu/";3768.0
47;"Swarthmore College";"Liberal Arts";"$49,700.00 ";"$104,000.00 ";"";"$67,200.00 ";"$167,000.00 ";"";"00337000";"500 College Ave";"Swarthmore";"PA";"19081";216287.0;"www.swarthmore.edu";3370.0
48;"Davidson College";"Liberal Arts";"$46,100.00 ";"$104,000.00 ";"";"$70,500.00 ";"$146,000.00 ";"";"00291800";"102 N. Main Street";"Davidson";"NC";"28035";198385.0;"www2.davidson.edu/index.asp";2918.0
49;"Carleton College";"Liberal Arts";"$47,500.00 ";"$103,000.00 ";"";"$69,400.00 ";"$141,000.00 ";"";"00234000";"One North College Street";"Northfield";"MN";"55057-4001";173258.0;"www.carleton.edu";2340.0
50;"Williams College";"Liberal Arts";"$51,700.00 ";"$102,000.00 ";"";"$76,400.00 ";"$143,000.00 ";"";"00222900";"880 Main St";"Williamstown";"MA";"01267";168342.0;"www.williams.edu";2229.0
51;"Pomona College";"Liberal Arts";"$48,600.00 ";"$101,000.00 ";"";"$63,300.00 ";"$161,000.00 ";"";"00117300";"550 N College Avenue,  Alexander Hall";"Claremont";"CA";"91711-6319";121345.0;"www.pomona.edu";1173.0
52;"Wesleyan University";"Liberal Arts";"$46,500.00 ";"$97,900.00 ";"$42,000.00 ";"$62,500.00 ";"$126,000.00 ";"$215,000.00 ";"00142400";"237 High St";"Middletown";"CT";"06459";130697.0;"WWW.WESLEYAN.EDU";1424.0
53;"Bates College";"Liberal Arts";"$47,300.00 ";"$96,500.00 ";"";"$60,700.00 ";"$162,000.00 ";"";"00203600";"2 Andrews Road, 2 Lane Hall";"Lewiston";"ME";"04240";160977.0;"www.bates.edu/";2036.0
54;"Union College";"Liberal Arts";"$47,200.00 ";"$95,800.00 ";"$48,700.00 ";"$75,200.00 ";"$135,000.00 ";"$230,000.00 ";"00198800";"310 College St";"Barbourville";"KY";"40906-1499";157863.0;"www.unionky.edu";1988.0
55;"University of Richmond";"Liberal Arts";"$48,600.00 ";"$94,600.00 ";"$44,500.00 ";"$59,400.00 ";"$151,000.00 ";"$211,000.00 ";"00374400";"28 Westhampton Way";"Richmond";"VA";"23173";233374.0;"www.richmond.edu";3744.0
56;"Vassar College";"Liberal Arts";"$46,000.00 ";"$94,600.00 ";"";"$60,600.00 ";"$123,000.00 ";"";"00289500";"124 Raymond Ave";"Poughkeepsie";"NY";"12604";197133.0;"www.vassar.edu";2895.0
57;"Middlebury College";"Liberal Arts";"$47,700.00 ";"$94,200.00 ";"";"$69,100.00 ";"$129,000.00 ";"";"00369100";"Old Chapel";"Middlebury";"VT";"05753";230959.0;"www.middlebury.edu";3691.0
58;"Mount Holyoke College";"Liberal Arts";"$42,400.00 ";"$94,100.00 ";"";"$57,100.00 ";"$131,000.00 ";"";"00219200";"50 College Street";"South Hadley";"MA";"01075-1489";166939.0;"www.mtholyoke.edu";2192.0
59;"Franklin and Marshall College";"Liberal Arts";"$49,100.00 ";"$92,800.00 ";"";"$55,800.00 ";"$185,000.00 ";"";"00326500";"College Ave";"Lancaster";"PA";"17604-3003";212577.0;"WWW.FANDM.EDU";3265.0
60;"DePauw University";"Liberal Arts";"$41,400.00 ";"$88,300.00 ";"$49,500.00 ";"$57,400.00 ";"$133,000.00 ";"$185,000.00 ";"00179200";"313 S Locust St";"Greencastle";"IN";"46135-1772";150400.0;"www.depauw.edu";1792.0
61;"St. Olaf College";"Liberal Arts";"$45,300.00 ";"$86,200.00 ";"$41,300.00 ";"$61,000.00 ";"$120,000.00 ";"$185,000.00 ";"00238200";"1520 St Olaf Ave";"Northfield";"MN";"55057-1098";174844.0;"www.stolaf.edu";2382.0
62;"Colby College";"Liberal Arts";"$46,400.00 ";"$85,800.00 ";"";"$63,500.00 ";"$129,000.00 ";"";"00203900";"Mayflower Hill Drive";"Waterville";"ME";"04901";161086.0;"www.colby.edu";2039.0
63;"Gettysburg College";"Liberal Arts";"$44,700.00 ";"$85,800.00 ";"";"$66,300.00 ";"$132,000.00 ";"";"00326800";"300 N Washington St";"Gettysburg";"PA";"17325-1486";212674.0;"WWW.GETTYSBURG.EDU";3268.0
64;"Siena College";"Liberal Arts";"$45,500.00 ";"$85,200.00 ";"$38,700.00 ";"$58,400.00 ";"$129,000.00 ";"$189,000.00 ";"00281600";"515 Loudon Rd";"Loudonville";"NY";"12211-1462";195474.0;"www.siena.edu";2816.0
65;"Smith College";"Liberal Arts";"$44,000.00 ";"$83,900.00 ";"$45,100.00 ";"$59,800.00 ";"$129,000.00 ";"$184,000.00 ";"00220900";"Elm St";"Northampton";"MA";"01063";167835.0;"www.smith.edu";2209.0
66;"Hamilton College";"Liberal Arts";"$49,200.00 ";"$83,700.00 ";"";"$51,900.00 ";"$123,000.00 ";"";"00272800";"198 College Hill Rd";"Clinton";"NY";"13323";191515.0;"www.hamilton.edu";2728.0
68;"Wellesley College";"Liberal Arts";"$42,800.00 ";"$83,500.00 ";"";"$58,600.00 ";"$125,000.00 ";"";"00222400";"106 Central St";"Wellesley";"MA";"02481-8203";168218.0;"www.wellesley.edu";2224.0
69;"Denison University";"Liberal Arts";"$42,000.00 ";"$83,500.00 ";"";"$62,100.00 ";"$122,000.00 ";"";"00304200";"100 West College Rd";"Granville";"OH";"43023-0713";202523.0;"www.denison.edu";3042.0
70;"Oberlin College";"Liberal Arts";"$43,400.00 ";"$81,600.00 ";"";"$46,400.00 ";"$128,000.00 ";"";"00308600";"70 N Professor St";"Oberlin";"OH";"44074";204501.0;"www.oberlin.edu";3086.0
71;"University of Puget Sound";"Liberal Arts";"$46,600.00 ";"$81,500.00 ";"$48,900.00 ";"$60,100.00 ";"$104,000.00 ";"$137,000.00 ";"00379700";"1500 N Warner";"Tacoma";"WA";"98416";236328.0;"www.ups.edu";3797.0
72;"Colorado College";"Liberal Arts";"$38,500.00 ";"$81,400.00 ";"";"$43,000.00 ";"$148,000.00 ";"";"00134700";"14 East Cache La Poudre Street";"Colorado Springs";"CO";"80903";126678.0;"www.coloradocollege.edu";1347.0
73;"Reed College";"Liberal Arts";"$40,500.00 ";"$81,100.00 ";"";"$67,400.00 ";"$101,000.00 ";"";"00321700";"3203 SE Woodstock Boulevard";"Portland";"OR";"97202-8199";209922.0;"www.reed.edu";3217.0
74;"Gustavus Adolphus College";"Liberal Arts";"$44,500.00 ";"$80,600.00 ";"";"$49,300.00 ";"$101,000.00 ";"";"00235300";"800 West College Avenue";"Saint Peter";"MN";"56082-1498";173647.0;"WWW.GUSTAVUS.EDU";2353.0
75;"Whitman College";"Liberal Arts";"$43,500.00 ";"$80,100.00 ";"";"$64,800.00 ";"$111,000.00 ";"";"00380300";"345 Boyer Ave";"Walla Walla";"WA";"99362";237057.0;"www.whitman.edu";3803.0
76;"Ursinus College";"Liberal Arts";"$42,100.00 ";"$80,000.00 ";"$35,600.00 ";"$54,300.00 ";"$100,000.00 ";"$160,000.00 ";"00338500";"601 E. Main St";"Collegeville";"PA";"19426-1000";216524.0;"www.ursinus.edu";3385.0
77;"Juniata College";"Liberal Arts";"$41,800.00 ";"$78,900.00 ";"";"$67,200.00 ";"$110,000.00 ";"";"00327900";"1700 Moore St";"Huntingdon";"PA";"16652-2196";213251.0;"www.juniata.edu";3279.0
78;"Wittenberg University";"Liberal Arts";"$39,200.00 ";"$78,200.00 ";"";"$54,100.00 ";"$131,000.00 ";"";"00314300";"Ward St at N Wittenberg Ave";"Springfield";"OH";"45504";206525.0;"www.wittenberg.edu";3143.0
79;"Grinnell College";"Liberal Arts";"$42,600.00 ";"$76,600.00 ";"";"$65,100.00 ";"$116,000.00 ";"";"00186800";"1121 Park Street";"Grinnell";"IA";"50112-1690";153384.0;"www.grinnell.edu";1868.0
80;"Skidmore College";"Liberal Arts";"$41,600.00 ";"$74,600.00 ";"";"$42,800.00 ";"$147,000.00 ";"";"00281400";"815 N Broadway";"Saratoga Springs";"NY";"12866";195526.0;"www.skidmore.edu";2814.0
81;"Moravian College";"Liberal Arts";"$42,500.00 ";"$74,400.00 ";"";"$56,700.00 ";"$94,900.00 ";"";"00330100";"1200 Main St";"Bethlehem";"PA";"18018-6650";214157.0;"www.moravian.edu";3301.0
82;"Lewis & Clark College";"Liberal Arts";"$38,900.00 ";"$72,600.00 ";"$38,200.00 ";"$53,400.00 ";"$104,000.00 ";"$140,000.00 ";"00319700";"0615 S W Palatine Hill Rd";"Portland";"OR";"97219-7899";209056.0;"www.lclark.edu/";3197.0
83;"Fort Lewis College";"Liberal Arts";"$42,000.00 ";"$69,800.00 ";"";"$55,000.00 ";"$94,000.00 ";"";"00135300";"1000 Rim Drive";"Durango";"CO";"81301-3999";127185.0;"www.fortlewis.edu";1353.0
84;"Thomas Aquinas College";"Liberal Arts";"$41,500.00 ";"$67,500.00 ";"";"$44,600.00 ";"$93,100.00 ";"";"02358000";"10000 N Ojai Rd";"Santa Paula";"CA";"93060";124292.0;"www.thomasaquinas.edu";23580.0
86;"Dartmouth College";"Ivy League";"$58,000.00 ";"$134,000.00 ";"$63,100.00 ";"$90,200.00 ";"$234,000.00 ";"$321,000.00 ";"00257300";"";"Hanover";"NH";"03755-3529";182670.0;"www.dartmouth.edu";2573.0
87;"Princeton University";"Ivy League";"$66,500.00 ";"$131,000.00 ";"$68,900.00 ";"$100,000.00 ";"$190,000.00 ";"$261,000.00 ";"00262700";"One Nassau Hall";"Princeton";"NJ";"08544-0070";186131.0;"www.princeton.edu";2627.0
88;"Yale University";"Ivy League";"$59,100.00 ";"$126,000.00 ";"$58,000.00 ";"$80,600.00 ";"$198,000.00 ";"$326,000.00 ";"00142600";"105 Wall Street";"New Haven";"CT";"06520";130794.0;"WWW.YALE.EDU";1426.0
89;"Harvard University";"Ivy League";"$63,400.00 ";"$124,000.00 ";"$54,800.00 ";"$86,200.00 ";"$179,000.00 ";"$288,000.00 ";"00215500";"Massachusetts Hall";"Cambridge";"MA";"02138";166027.0;"www.harvard.edu/";2155.0
90;"University of Pennsylvania";"Ivy League";"$60,900.00 ";"$120,000.00 ";"$55,900.00 ";"$79,200.00 ";"$192,000.00 ";"$282,000.00 ";"00337800";"3451 Walnut Street";"Philadelphia";"PA";"19104-6303";215062.0;"www.upenn.edu";3378.0
