"index";"School Name";"School Type";"Starting Median Salary";"Mid-Career Median Salary";"Mid-Career 10th Percentile Salary";"Mid-Career 25th Percentile Salary";"Mid-Career 75th Percentile Salary";"Mid-Career 90th Percentile Salary";"OPEID8";"Address";"City";"State";"Zip";"schoolid";"Web";"OPEID6"
91;"Cornell University";"Ivy League";"$60,300.00 ";"$110,000.00 ";"$56,800.00 ";"$79,800.00 ";"$160,000.00 ";"$210,000.00 ";"00271100";"300 Day Hall";"Ithaca";"NY";"14853";190415.0;"www.cornell.edu";2711.0
92;"Brown University";"Ivy League";"$56,200.00 ";"$109,000.00 ";"$55,400.00 ";"$74,400.00 ";"$159,000.00 ";"$228,000.00 ";"00340100";"Prospect St";"Providence";"RI";"02912";217156.0;"www.brown.edu";3401.0
95;"University of Virginia";"State";"$52,700.00 ";"$103,000.00 ";"$52,200.00 ";"$71,800.00 ";"$146,000.00 ";"$215,000.00 ";"00374500";"1707 University Avenue";"Charlottesville";"VA";"22904";234076.0;"www.virginia.edu/";3745.0
106;"San Jose State University";"State";"$53,500.00 ";"$95,600.00 ";"$50,700.00 ";"$70,500.00 ";"$122,000.00 ";"$156,000.00 ";"00115500";"1 Washington Sq";"San Jose";"CA";"95192-0001";122755.0;"www.sjsu.edu";1155.0
114;"Purdue University";"State";"$51,400.00 ";"$90,500.00 ";"$49,900.00 ";"$67,400.00 ";"$121,000.00 ";"$168,000.00 ";"00182500";"Hovde Hall of Administration";"West Lafayette";"IN";"47907-2040";243780.0;"www.purdue.edu";1825.0
115;"University of Connecticut";"State";"$48,000.00 ";"$88,800.00 ";"$46,100.00 ";"$66,400.00 ";"$120,000.00 ";"$162,000.00 ";"00141700";"352 Mansfield Rd.";"Storrs";"CT";"06269";129020.0;"www.uconn.edu";1417.0
122;"George Mason University";"State";"$47,800.00 ";"$86,900.00 ";"$51,300.00 ";"$67,200.00 ";"$114,000.00 ";"$150,000.00 ";"00374900";"4400 University Dr";"Fairfax";"VA";"22030-4444";232186.0;"www.gmu.edu";3749.0
124;"San Francisco State University";"State";"$47,300.00 ";"$86,400.00 ";"$45,100.00 ";"$62,700.00 ";"$114,000.00 ";"$150,000.00 ";"00115400";"1600 Holloway Ave";"San Francisco";"CA";"94132";122597.0;"www.sfsu.edu";1154.0
125;"University of Arizona";"State";"$47,500.00 ";"$86,100.00 ";"$44,800.00 ";"$61,700.00 ";"$117,000.00 ";"$160,000.00 ";"00108300";"1401 E University";"Tucson";"AZ";"85721-0066";104179.0;"www.arizona.edu";1083.0
126;"Clemson University";"State";"$48,400.00 ";"$86,000.00 ";"$50,500.00 ";"$61,800.00 ";"$111,000.00 ";"$150,000.00 ";"00342500";"201 Sikes Hall";"Clemson";"SC";"29634";217882.0;"www.clemson.edu";3425.0
130;"Michigan State University";"State";"$46,300.00 ";"$85,300.00 ";"$44,200.00 ";"$61,500.00 ";"$119,000.00 ";"$170,000.00 ";"00229000";"450 Administration Bldg.";"East Lansing";"MI";"48824-1046";171100.0;"www.msu.edu";2290.0
131;"University of Rhode Island";"State";"$43,900.00 ";"$85,300.00 ";"$45,400.00 ";"$60,100.00 ";"$112,000.00 ";"$157,000.00 ";"00341400";"Green Hall, 35 Campus Avenue";"Kingston";"RI";"02881";217484.0;"www.uri.edu/";3414.0
132;"San Diego State University";"State";"$46,200.00 ";"$85,200.00 ";"$45,500.00 ";"$61,800.00 ";"$116,000.00 ";"$158,000.00 ";"00115100";"5500 Campanile Dr";"San Diego";"CA";"92182";122409.0;"www.sdsu.edu";1151.0
134;"Washington State University";"State";"$45,300.00 ";"$84,700.00 ";"$43,600.00 ";"$59,000.00 ";"$113,000.00 ";"$162,000.00 ";"00380000";"French Administration Building";"Pullman";"WA";"99164-1009";236939.0;"www.wsu.edu/";3800.0
136;"Iowa State University";"State";"$45,400.00 ";"$84,600.00 ";"$44,400.00 ";"$60,000.00 ";"$109,000.00 ";"$147,000.00 ";"00186900";"1750 Beardshear Hall";"Ames";"IA";"50011";153603.0;"www.iastate.edu";1869.0
137;"University of Delaware";"State";"$45,900.00 ";"$84,500.00 ";"$44,500.00 ";"$64,000.00 ";"$119,000.00 ";"$165,000.00 ";"00143100";"104 Hullihen Hall";"Newark";"DE";"19716";130943.0;"www.udel.edu";1431.0
146;"Ohio State University";"State";"$44,900.00 ";"$83,700.00 ";"$45,500.00 ";"$60,700.00 ";"$116,000.00 ";"$162,000.00 ";"00309000";"190 N. Oval Mall";"Columbus";"OH";"43210";204796.0;"www.osu.edu";3090.0
147;"North Carolina State University";"State";"$47,200.00 ";"$83,300.00 ";"$49,200.00 ";"$64,800.00 ";"$112,000.00 ";"$153,000.00 ";"00297200";"20 Watauga Club Drive";"Raleigh";"NC";"27695";199193.0;"www.ncsu.edu";2972.0
148;"Oregon State University";"State";"$45,100.00 ";"$83,300.00 ";"$46,900.00 ";"$64,000.00 ";"$113,000.00 ";"$146,000.00 ";"00321000";"";"Corvallis";"OR";"97331";209542.0;"oregonstate.edu";3210.0
149;"University of Utah";"State";"$45,400.00 ";"$83,200.00 ";"$43,000.00 ";"$58,400.00 ";"$116,000.00 ";"$148,000.00 ";"00367500";"201 Presidents Circle";"Salt Lake City";"UT";"84112-9008";230764.0;"www.utah.edu";3675.0
151;"University of Oklahoma";"State";"$44,700.00 ";"$82,900.00 ";"$41,200.00 ";"$60,300.00 ";"$114,000.00 ";"$167,000.00 ";"00318400";"660 Parrington Oval, Room 110";"Norman";"OK";"73019";207500.0;"www.ou.edu";3184.0
153;"University of Vermont";"State";"$44,800.00 ";"$82,700.00 ";"$44,700.00 ";"$58,000.00 ";"$122,000.00 ";"$194,000.00 ";"00369600";"85 S Prospect St";"Burlington";"VT";"05405-0160";231174.0;"www.uvm.edu";3696.0
156;"University of Idaho";"State";"$44,900.00 ";"$82,000.00 ";"$43,000.00 ";"$56,700.00 ";"$104,000.00 ";"$142,000.00 ";"00162600";"875 Perimeter Drive";"Moscow";"ID";"83844-2282";142285.0;"www.uidaho.edu";1626.0
157;"University of Illinois at Chicago";"State";"$47,500.00 ";"$81,700.00 ";"$44,700.00 ";"$58,800.00 ";"$110,000.00 ";"$146,000.00 ";"00177600";"601 S. Morgan St. ; M/C 102";"Chicago";"IL";"60607-7128";145600.0;"www.uic.edu/";1776.0
159;"University of Kansas";"State";"$42,400.00 ";"$81,600.00 ";"$44,800.00 ";"$57,200.00 ";"$115,000.00 ";"$156,000.00 ";"00194800";"230 Strong Hall 1450 Jayhawk Blvd.";"Lawrence";"KS";"66045-7535";155317.0;"www.ku.edu";1948.0
161;"University of North Carolina at Chapel Hill";"State";"$42,900.00 ";"$81,500.00 ";"$43,400.00 ";"$57,500.00 ";"$117,000.00 ";"$155,000.00 ";"00297400";"103 South Bldg Campus Box 9100";"Chapel Hill";"NC";"27599";199120.0;"www.unc.edu";2974.0
165;"University of Missouri - Columbia";"State";"$41,700.00 ";"$81,000.00 ";"$43,500.00 ";"$57,100.00 ";"$111,000.00 ";"$156,000.00 ";"00251600";"105 Jesse Hall";"Columbia";"MO";"65211";178396.0;"www.missouri.edu";2516.0
168;"Northern Illinois University";"State";"$43,600.00 ";"$80,800.00 ";"$43,900.00 ";"$60,200.00 ";"$111,000.00 ";"$161,000.00 ";"00173700";"1425 West Lincoln Highway";"Dekalb";"IL";"60115-2828";147703.0;"www.niu.edu";1737.0
169;"Oklahoma State University";"State";"$42,800.00 ";"$80,700.00 ";"$40,100.00 ";"$56,500.00 ";"$114,000.00 ";"$151,000.00 ";"00317000";"107 Whitehurst Hall";"Stillwater";"OK";"74078";207388.0;"pio.okstate.edu";3170.0
170;"University of North Dakota";"State";"$44,000.00 ";"$80,600.00 ";"$43,400.00 ";"$56,400.00 ";"$111,000.00 ";"$157,000.00 ";"00300500";"264 Centennial Drive Stop 8193";"Grand Forks";"ND";"58202-8193";200280.0;"www.und.edu";3005.0
172;"University of Houston";"State";"$46,000.00 ";"$79,900.00 ";"$42,000.00 ";"$56,200.00 ";"$106,000.00 ";"$141,000.00 ";"00365200";"4800 Calhoun Rd.";"Houston";"TX";"77204-2018";225511.0;"www.uh.edu";3652.0
174;"New Mexico State University";"State";"$44,300.00 ";"$79,500.00 ";"$37,400.00 ";"$53,800.00 ";"$102,000.00 ";"$131,000.00 ";"00265700";"P.O. Box 30001";"Las Cruces";"NM";"88003-8001";188030.0;"www.nmsu.edu/";2657.0
175;"Lamar University";"State";"$46,500.00 ";"$79,400.00 ";"$38,700.00 ";"$51,600.00 ";"$114,000.00 ";"$158,000.00 ";"00358100";"4400 MLK";"Beaumont";"TX";"77705";226091.0;"www.lamar.edu";3581.0
176;"Mississippi State University";"State";"$44,500.00 ";"$79,300.00 ";"$43,300.00 ";"$58,800.00 ";"$108,000.00 ";"$151,000.00 ";"00242300";"610 Allen Hall";"Mississippi State";"MS";"39762";176080.0;"www.msstate.edu/";2423.0
177;"Colorado State University";"State";"$44,800.00 ";"$79,000.00 ";"$43,800.00 ";"$57,100.00 ";"$112,000.00 ";"$150,000.00 ";"00135000";"102 Administration Building";"Fort Collins";"CO";"80523-0100";126818.0;"www.colostate.edu";1350.0
178;"Kansas State University";"State";"$43,300.00 ";"$79,000.00 ";"$37,200.00 ";"$54,100.00 ";"$106,000.00 ";"$138,000.00 ";"00192800";"110 Anderson Hall";"Manhattan";"KS";"66506";155399.0;"www.k-state.edu";1928.0
179;"University of Wyoming";"State";"$44,500.00 ";"$78,700.00 ";"$41,500.00 ";"$54,000.00 ";"$105,000.00 ";"$145,000.00 ";"00393200";"1000 E. University Ave.";"Laramie";"WY";"82071";240727.0;"www.uwyo.edu";3932.0
180;"Utah State University";"State";"$43,800.00 ";"$78,700.00 ";"$41,600.00 ";"$55,400.00 ";"$101,000.00 ";"$132,000.00 ";"00367700";"Old Main Hill";"Logan";"UT";"84322-1400";230728.0;"www.usu.edu";3677.0
182;"University of Oregon";"State";"$42,200.00 ";"$78,400.00 ";"$38,100.00 ";"$56,200.00 ";"$117,000.00 ";"$186,000.00 ";"00322300";"110 Johnson Hall";"Eugene";"OR";"97403";209551.0;"www.uoregon.edu";3223.0
183;"University of Kentucky";"State";"$42,800.00 ";"$78,300.00 ";"$43,000.00 ";"$57,300.00 ";"$107,000.00 ";"$149,000.00 ";"00198900";"101 Main Building";"Lexington";"KY";"40506-0032";157085.0;"www.uky.edu";1989.0
191;"Montana State University - Bozeman";"State";"$46,600.00 ";"$77,500.00 ";"$40,200.00 ";"$58,100.00 ";"$111,000.00 ";"$151,000.00 ";"00253200";"P.O. Box 172420";"Bozeman";"MT";"59717-2420";180461.0;"www.montana.edu/";2532.0
195;"Wayne State University";"State";"$42,800.00 ";"$76,100.00 ";"$40,100.00 ";"$56,200.00 ";"$101,000.00 ";"$139,000.00 ";"00232900";"656 West Kirby Street";"Detroit";"MI";"48202";172644.0;"www.wayne.edu";2329.0
197;"University of Toledo";"State";"$43,100.00 ";"$75,900.00 ";"$40,100.00 ";"$54,100.00 ";"$100,000.00 ";"$133,000.00 ";"00313100";"2801 W Bancroft";"Toledo";"OH";"43606-3390";206084.0;"www.utoledo.edu/";3131.0
198;"Florida International University";"State";"$43,200.00 ";"$75,500.00 ";"$40,500.00 ";"$55,800.00 ";"$98,200.00 ";"$136,000.00 ";"00963500";"11200 SW 8th Street";"Miami";"FL";"33199";133951.0;"www.fiu.edu";9635.0
200;"Western Washington University";"State";"$42,700.00 ";"$75,400.00 ";"$41,300.00 ";"$56,700.00 ";"$99,200.00 ";"$119,000.00 ";"00380200";"516 High St";"Bellingham";"WA";"98225-9008";237011.0;"www.wwu.edu";3802.0
201;"Minnesota State University - Mankato";"State";"$43,300.00 ";"$74,700.00 ";"$39,500.00 ";"$53,800.00 ";"$95,700.00 ";"$140,000.00 ";"00236000";"228 Wiecking Center";"Mankato";"MN";"56001-6062";173920.0;"www.mnsu.edu";2360.0
206;"University of North Carolina at Charlotte";"State";"$43,100.00 ";"$74,000.00 ";"$38,200.00 ";"$53,200.00 ";"$99,500.00 ";"$133,000.00 ";"00297500";"9201 University City Blvd";"Charlotte";"NC";"28223-0001";199139.0;"www.uncc.edu";2975.0
207;"Georgia State University";"State";"$41,800.00 ";"$74,000.00 ";"$43,000.00 ";"$55,300.00 ";"$99,900.00 ";"$145,000.00 ";"00157400";"33 Gilmer St SE";"Atlanta";"GA";"30302-3083";139940.0;"www.gsu.edu";1574.0
208;"Western Michigan University";"State";"$42,300.00 ";"$73,800.00 ";"$40,100.00 ";"$52,500.00 ";"$103,000.00 ";"$135,000.00 ";"00233000";"1903 West Michigan Avenue";"Kalamazoo";"MI";"49008-5167";172699.0;"www.wmich.edu";2330.0
209;"South Dakota State University";"State";"$41,100.00 ";"$73,500.00 ";"$34,100.00 ";"$49,900.00 ";"$99,400.00 ";"$129,000.00 ";"00347100";"Box 2201, Adm 324";"Brookings";"SD";"57007-1898";219356.0;"www3.sdstate.edu";3471.0
210;"Idaho State University";"State";"$44,900.00 ";"$73,400.00 ";"$35,400.00 ";"$49,600.00 ";"$101,000.00 ";"$143,000.00 ";"00162000";"921 S 7th Ave";"Pocatello";"ID";"83209";142276.0;"www.isu.edu";1620.0
212;"Illinois State University";"State";"$42,000.00 ";"$73,400.00 ";"$39,100.00 ";"$55,200.00 ";"$105,000.00 ";"$142,000.00 ";"00169200";"1000 Illinois State University, Campus Box 1000";"Normal";"IL";"61790-1000";145813.0;"www.ilstu.edu";1692.0
213;"Cleveland State University";"State";"$43,500.00 ";"$73,100.00 ";"$39,500.00 ";"$51,600.00 ";"$97,000.00 ";"$137,000.00 ";"00303200";"2121 Euclid Avenue";"Cleveland";"OH";"44115-2214";202134.0;"www.csuohio.edu/";3032.0
217;"University of Nebraska at Omaha";"State";"$41,500.00 ";"$72,600.00 ";"$39,500.00 ";"$54,400.00 ";"$97,400.00 ";"$126,000.00 ";"00255400";"6001 Dodge St";"Omaha";"NE";"68182-0225";181394.0;"www.unomaha.edu";2554.0
218;"Southern Illinois University Carbondale";"State";"$43,000.00 ";"$72,500.00 ";"$38,300.00 ";"$51,300.00 ";"$99,300.00 ";"$139,000.00 ";"00175800";"Anthony Hall 116";"Carbondale";"IL";"62901";149222.0;"www.siuc.edu";1758.0
222;"Eastern Michigan University";"State";"$40,300.00 ";"$72,100.00 ";"$37,900.00 ";"$52,800.00 ";"$95,400.00 ";"$135,000.00 ";"00225900";"202 Welch";"Ypsilanti";"MI";"48197";169798.0;"www.emich.edu";2259.0
223;"Bowling Green State University";"State";"$39,800.00 ";"$72,100.00 ";"$38,200.00 ";"$51,800.00 ";"$101,000.00 ";"$146,000.00 ";"00301800";"1001 East Wooster Street";"Bowling Green";"OH";"43403";201441.0;"www.bgsu.edu";3018.0
225;"University of Central Florida";"State";"$42,600.00 ";"$71,700.00 ";"$39,500.00 ";"$51,500.00 ";"$98,400.00 ";"$125,000.00 ";"00395400";"4000 Central Florida Blvd";"Orlando";"FL";"32816";132903.0;"www.ucf.edu/";3954.0
231;"Humboldt State University";"State";"$42,600.00 ";"$71,300.00 ";"$36,000.00 ";"$56,300.00 ";"$94,400.00 ";"$117,000.00 ";"00114900";"1 Harpst Street";"Arcata";"CA";"95521-8299";115755.0;"www.humboldt.edu";1149.0
232;"Florida Atlantic University";"State";"$42,600.00 ";"$71,100.00 ";"$40,700.00 ";"$53,000.00 ";"$99,500.00 ";"$137,000.00 ";"00148100";"777 Glades Rd";"Boca Raton";"FL";"33431-0991";133669.0;"www.fau.edu/";1481.0
233;"University of South Florida";"State";"$41,100.00 ";"$71,100.00 ";"$39,600.00 ";"$51,500.00 ";"$98,100.00 ";"$131,000.00 ";"00153700";"4202 East Fowler Ave";"Tampa";"FL";"33620-9951";137351.0;"www.usf.edu";1537.0
234;"Portland State University";"State";"$42,600.00 ";"$70,900.00 ";"$40,700.00 ";"$52,300.00 ";"$94,400.00 ";"$123,000.00 ";"00321600";"724 SW Harrison";"Portland";"OR";"97201";209807.0;"www.pdx.edu";3216.0
235;"Eastern Washington University";"State";"$38,600.00 ";"$70,900.00 ";"$36,000.00 ";"$50,500.00 ";"$93,100.00 ";"$117,000.00 ";"00377500";"526 5th Street";"Cheney";"WA";"99004-2496";235097.0;"www.ewu.edu";3775.0
237;"University of Akron";"State";"$41,100.00 ";"$70,300.00 ";"$40,600.00 ";"$53,300.00 ";"$95,200.00 ";"$127,000.00 ";"00312300";"302 Buchtel Common";"Akron";"OH";"44325-4702";200800.0;"www.uakron.edu";3123.0
239;"University of Alabama at Birmingham";"State";"$39,200.00 ";"$70,100.00 ";"$43,000.00 ";"$53,400.00 ";"$91,400.00 ";"$125,000.00 ";"00105200";"1530 3rd Avenue South";"Birmingham";"AL";"35294-0110";100663.0;"www.uab.edu";1052.0
240;"University of Memphis";"State";"$41,400.00 ";"$69,700.00 ";"$36,100.00 ";"$49,100.00 ";"$93,500.00 ";"$127,000.00 ";"00350900";"341 Administration Building";"Memphis";"TN";"38152";220862.0;"www.memphis.edu";3509.0
241;"Boise State University";"State";"$40,800.00 ";"$69,500.00 ";"$37,400.00 ";"$48,700.00 ";"$87,500.00 ";"$110,000.00 ";"00161600";"1910 University Dr";"Boise";"ID";"83725";142115.0;"www.boisestate.edu";1616.0
242;"Missouri State University";"State";"$36,100.00 ";"$69,500.00 ";"$33,300.00 ";"$46,900.00 ";"$102,000.00 ";"$134,000.00 ";"00250300";"901 S National";"Springfield";"MO";"65897";179566.0;"www.missouristate.edu";2503.0
244;"Appalachian State University";"State";"$40,400.00 ";"$69,100.00 ";"$37,200.00 ";"$50,400.00 ";"$90,800.00 ";"$115,000.00 ";"00290600";"";"Boone";"NC";"28608";197869.0;"www.appstate.edu/";2906.0
245;"Virginia Commonwealth University";"State";"$42,000.00 ";"$68,400.00 ";"$37,400.00 ";"$51,900.00 ";"$100,000.00 ";"$123,000.00 ";"00373500";"910 W Franklin St";"Richmond";"VA";"23284-2512";234030.0;"www.vcu.edu/";3735.0
247;"East Carolina University";"State";"$40,200.00 ";"$67,500.00 ";"$38,400.00 ";"$52,000.00 ";"$98,700.00 ";"$151,000.00 ";"00292300";"East 5th Street";"Greenville";"NC";"27858-4353";198464.0;"www.ecu.edu";2923.0
250;"Western Carolina University";"State";"$36,900.00 ";"$66,600.00 ";"$39,000.00 ";"$49,500.00 ";"$94,400.00 ";"$133,000.00 ";"00298100";"";"Cullowhee";"NC";"28723-9646";200004.0;"www.wcu.edu";2981.0
253;"University of Missouri - Kansas City";"State";"$38,900.00 ";"$65,800.00 ";"$36,300.00 ";"$48,100.00 ";"$95,800.00 ";"$124,000.00 ";"00251800";"5100 Rockhill Rd";"Kansas City";"MO";"64110";178402.0;"www.umkc.edu";2518.0
255;"Ball State University";"State";"$39,100.00 ";"$64,500.00 ";"$35,500.00 ";"$48,200.00 ";"$89,300.00 ";"$128,000.00 ";"00178600";"2000 University Ave";"Muncie";"IN";"47306";150136.0;"WWW.BSU.EDU";1786.0
258;"University of Southern Maine";"State";"$39,400.00 ";"$63,600.00 ";"$40,400.00 ";"$47,900.00 ";"$85,700.00 ";"$117,000.00 ";"00205400";"96 Falmouth St";"Portland";"ME";"04103";161554.0;"www.usm.maine.edu";2054.0
259;"Arkansas State University";"State";"$38,700.00 ";"$63,300.00 ";"$33,600.00 ";"$45,300.00 ";"$83,900.00 ";"$118,000.00 ";"00109000";"P.O. Box 600";"State University";"AR";"72467";106458.0;"www.astate.edu";1090.0
260;"Kent State University";"State";"$38,700.00 ";"$62,600.00 ";"$36,100.00 ";"$45,800.00 ";"$87,000.00 ";"$124,000.00 ";"00305100";"P.O. Box 5190";"Kent";"OH";"44242-0001";203517.0;"www.kent.edu";3051.0
261;"Tarleton State University";"State";"$40,800.00 ";"$62,400.00 ";"$32,100.00 ";"$47,400.00 ";"$80,400.00 ";"$126,000.00 ";"00363100";"1333 W. Washington";"Stephenville";"TX";"76402-0000";228529.0;"www.tarleton.edu";3631.0
263;"Morehead State University";"State";"$34,800.00 ";"$60,600.00 ";"$34,300.00 ";"$46,500.00 ";"$72,000.00 ";"$91,300.00 ";"00197600";"150 University Blvd";"Morehead";"KY";"40351";157386.0;"www.moreheadstate.edu";1976.0
264;"Austin Peay State University";"State";"$37,700.00 ";"$59,200.00 ";"$32,200.00 ";"$40,500.00 ";"$73,900.00 ";"$96,200.00 ";"00347800";"601 College St";"Clarksville";"TN";"37044";219602.0;"www.apsu.edu";3478.0
265;"Pittsburg State University";"State";"$40,400.00 ";"$58,200.00 ";"$25,600.00 ";"$46,000.00 ";"$84,600.00 ";"$117,000.00 ";"00192600";"1701 S Broadway";"Pittsburg";"KS";"66762";155681.0;"www.pittstate.edu";1926.0
266;"Southern Utah University";"State";"$41,900.00 ";"$56,500.00 ";"$30,700.00 ";"$39,700.00 ";"$78,400.00 ";"$116,000.00 ";"00367800";"351 West University Blvd";"Cedar City";"UT";"84720";230603.0;"www.suu.edu";3678.0
267;"Montana State University - Billings";"State";"$37,900.00 ";"$50,600.00 ";"$22,600.00 ";"$31,800.00 ";"$78,500.00 ";"$98,900.00 ";"00253000";"1500 University Drive";"Billings";"MT";"59101-0298";180179.0;"www.msubillings.edu";2530.0
268;"Black Hills State University";"State";"$35,300.00 ";"$43,900.00 ";"$27,000.00 ";"$32,200.00 ";"$60,900.00 ";"$87,600.00 ";"00345900";"1200 University St";"Spearfish";"SD";"57799-9500";219046.0;"www.bhsu.edu";3459.0
